BENE_STATE_DESC,BENE_STATE_ABRVTN,BENE_COUNTY_DESC,BENE_FIPS_CD,BENE_GEO_LVL,YEAR,MONTH,TOT_BENES
California,CA,Colusa County,06011,County,2024,Year,4151
California,CA,Contra Costa County,06013,County,2024,Year,219491
California,CA,Del Norte County,06015,County,2024,Year,6626
California,CA,El Dorado County,06017,County,2024,Year,50281
California,CA,Fresno County,06019,County,2024,Year,155228
California,CA,Glenn County,06021,County,2024,Year,5902
California,CA,Humboldt County,06023,County,2024,Year,30808
California,CA,Imperial County,06025,County,2024,Year,35654
California,CA,Inyo County,06027,County,2024,Year,4718
California,CA,Kern County,06029,County,2024,Year,130391
California,CA,Kings County,06031,County,2024,Year,19030
California,CA,Lake County,06033,County,2024,Year,17620
California,CA,Lassen County,06035,County,2024,Year,5386
California,CA,Los Angeles County,06037,County,2024,Year,1643997
California,CA,Madera County,06039,County,2024,Year,26516
California,CA,Marin County,06041,County,2024,Year,63024
California,CA,Mariposa County,06043,County,2024,Year,5067
California,CA,Mendocino County,06045,County,2024,Year,23991
California,CA,Merced County,06047,County,2024,Year,40460
California,CA,Modoc County,06049,County,2024,Year,2667
California,CA,Mono County,06051,County,2024,Year,2086
California,CA,Monterey County,06053,County,2024,Year,72124
California,CA,Napa County,06055,County,2024,Year,31343
California,CA,Nevada County,06057,County,2024,Year,30779
California,CA,Orange County,06059,County,2024,Year,575537
California,CA,Placer County,06061,County,2024,Year,97395
California,CA,Plumas County,06063,County,2024,Year,6493
California,CA,Riverside County,06065,County,2024,Year,429605
California,CA,Sacramento County,06067,County,2024,Year,284104
California,CA,San Benito County,06069,County,2024,Year,10483
California,CA,San Bernardino County,06071,County,2024,Year,334795
California,CA,San Diego County,06073,County,2024,Year,595847
California,CA,San Francisco County,06075,County,2024,Year,156330
California,CA,San Joaquin County,06077,County,2024,Year,123619
California,CA,San Luis Obispo County,06079,County,2024,Year,71682
California,CA,San Mateo County,06081,County,2024,Year,138128
California,CA,Santa Barbara County,06083,County,2024,Year,83793
California,CA,Santa Clara County,06085,County,2024,Year,298699
California,CA,Santa Cruz County,06087,County,2024,Year,57543
California,CA,Shasta County,06089,County,2024,Year,48987
